iter	Passed	Remaining
0	0	213
1	1	187
2	1	172
3	2	163
4	2	159
5	3	156
6	3	153
7	4	150
8	4	148
9	5	148
10	5	148
11	6	146
12	6	145
13	7	144
14	7	145
15	8	145
16	8	144
17	9	142
18	9	142
19	10	143
20	10	142
21	11	141
22	11	140
23	12	140
24	12	139
25	13	139
26	13	138
27	14	137
28	14	137
29	15	136
30	15	136
31	16	136
32	16	136
33	17	135
34	17	135
35	18	135
36	18	134
37	19	133
38	19	132
39	20	132
40	20	131
41	21	130
42	21	130
43	22	129
44	22	128
45	23	127
46	23	125
47	23	125
48	24	124
49	24	123
50	25	123
51	25	123
52	26	123
53	26	122
54	27	122
55	27	121
56	28	121
57	28	120
58	29	119
59	29	119
60	30	118
61	30	118
62	31	117
63	31	117
64	32	116
65	32	116
66	33	115
67	33	115
68	34	114
69	34	114
70	35	113
71	35	113
72	36	113
73	36	112
74	37	112
75	37	111
76	38	111
77	38	110
78	39	110
79	39	109
80	40	109
81	41	109
82	41	109
83	42	108
84	42	108
85	43	107
86	43	107
87	44	106
88	44	106
89	45	106
90	46	105
91	46	105
92	47	104
93	47	104
94	48	104
95	48	103
96	49	103
97	50	103
98	50	102
99	51	102
100	51	102
101	52	101
102	52	101
103	53	100
104	54	100
105	54	99
106	55	99
107	55	98
108	56	98
109	56	98
110	57	97
111	58	97
112	58	97
113	59	96
114	59	96
115	60	95
116	60	95
117	61	94
118	62	94
119	62	93
120	63	93
121	63	93
122	64	92
123	65	92
124	65	91
125	66	91
126	67	91
127	67	90
128	68	90
129	68	89
130	69	89
131	69	88
132	70	88
133	70	87
134	71	87
135	71	86
136	72	86
137	72	85
138	73	85
139	73	84
140	74	84
141	75	83
142	75	83
143	76	82
144	76	81
145	77	81
146	77	81
147	78	80
148	79	80
149	79	79
150	80	79
151	80	78
152	81	78
153	81	77
154	82	77
155	82	76
156	83	75
157	83	75
158	84	74
159	85	74
160	85	73
161	86	73
162	86	72
163	87	72
164	87	71
165	88	71
166	89	71
167	89	70
168	90	70
169	90	69
170	91	69
171	92	68
172	93	68
173	93	67
174	94	67
175	94	66
176	94	66
177	95	65
178	95	64
179	96	64
180	97	63
181	97	63
182	98	62
183	98	62
184	99	61
185	99	61
186	100	60
187	100	60
188	101	59
189	101	59
190	102	58
191	103	57
192	103	57
193	104	56
194	104	56
195	105	55
196	105	55
197	106	54
198	107	54
199	107	53
200	107	53
201	108	52
202	109	52
203	109	51
204	110	51
205	110	50
206	111	49
207	111	49
208	112	48
209	112	48
210	113	47
211	113	47
212	114	46
213	114	46
214	115	45
215	115	45
216	116	44
217	116	43
218	117	43
219	117	42
220	118	42
221	119	41
222	119	41
223	120	40
224	120	40
225	121	39
226	121	39
227	122	38
228	123	38
229	123	37
230	124	37
231	124	36
232	125	36
233	125	35
234	126	34
235	126	34
236	127	33
237	127	33
238	128	32
239	128	32
240	129	31
241	130	31
242	130	30
243	131	30
244	131	29
245	132	29
246	133	28
247	133	28
248	134	27
249	134	26
250	135	26
251	135	25
252	136	25
253	136	24
254	137	24
255	138	23
256	138	23
257	138	22
258	139	22
259	140	21
260	140	21
261	141	20
262	141	19
263	142	19
264	142	18
265	143	18
266	143	17
267	144	17
268	144	16
269	145	16
270	145	15
271	146	15
272	146	14
273	147	13
274	148	13
275	148	12
276	149	12
277	149	11
278	150	11
279	151	10
280	151	10
281	152	9
282	152	9
283	153	8
284	153	8
285	154	7
286	154	7
287	155	6
288	155	5
289	156	5
290	156	4
291	157	4
292	157	3
293	158	3
294	159	2
295	159	2
296	160	1
297	160	1
298	161	0
299	161	0
